column name,display,data type,output units,input column name,input units, description
id,DJA Source ID,int,,id,,The DJA source id of the object 
ra,Right Ascension,float,Degrees,ra,Degrees, The right ascension of the object in degrees
dec,Declination,float,Degrees,dec,Degrees, The declination of the object in degrees
flux_radius,Flux Radius,float,arcseconds,flux_radius,arcseconds, The flux radius of the object in arcseconds
abmag_f435w,Magnitude (F435W),float,magnitude,f435w_corr_1,microJansky, The magnitude of the object in filter F435W 
abmag_f475w,Magnitude (F475W),float,magnitude,f475w_corr_1,microJansky, The magnitude of the object in filter F475W 
abmag_f606w,Magnitude (F606W),float,magnitude,f475w_corr_1,microJansky, The magnitude of the object in filter F606W 
abmag_f775w,Magnitude (F775W),float,magnitude,f775w_corr_1,microJansky, The magnitude of the object in filter F775W 
abmag_f814w,Magnitude (F814W),float,magnitude,f814w_corr_1,microJansky, The magnitude of the object in filter F814W 
abmag_f070w,Magnitude (F070W),float,magnitude,f070w_corr_1,microJansky, The magnitude of the object in filter F070W 
abmag_f090w,Magnitude (F090W),float,magnitude,f090w_corr_1,microJansky, The magnitude of the object in filter F090W 
abmag_f105w,Magnitude (F105W),float,magnitude,f105w_corr_1,microJansky, The magnitude of the object in filter F105W 
abmag_f115w,Magnitude (F115W),float,magnitude,f115w_corr_1,microJansky, The magnitude of the object in filter F115W 
abmag_f125w,Magnitude (F125W),float,magnitude,f125w_corr_1,microJansky, The magnitude of the object in filter F125W 
abmag_f140w,Magnitude (F140W),float,magnitude,f140w_corr_1,microJansky, The magnitude of the object in filter F140W 
abmag_f140m,Magnitude (F140M),float,magnitude,f140m_corr_1,microJansky, The magnitude of the object in filter F140M 
abmag_f150w,Magnitude (F150W),float,magnitude,f150w_corr_1,microJansky, The magnitude of the object in filter F150W 
abmag_f160w,Magnitude (F160W),float,magnitude,f160w_corr_1,microJansky, The magnitude of the object in filter F160W 
abmag_f162m,Magnitude (F162M),float,magnitude,f162m_corr_1,microJansky, The magnitude of the object in filter F162M 
abmag_f182m,Magnitude (F182M),float,magnitude,f182m_corr_1,microJansky, The magnitude of the object in filter F182M 
abmag_f200w,Magnitude (F200W),float,magnitude,f200w_corr_1,microJansky, The magnitude of the object in filter F200W 
abmag_f210m,Magnitude (F210M),float,magnitude,f210m_corr_1,microJansky, The magnitude of the object in filter F210M 
abmag_f250m,Magnitude (F250M),float,magnitude,f250m_corr_1,microJansky, The magnitude of the object in filter F250M 
abmag_f277w,Magnitude (F277W),float,magnitude,f277w_corr_1,microJansky, The magnitude of the object in filter F277W 
abmag_f300m,Magnitude (F300M),float,magnitude,f300m_corr_1,microJansky, The magnitude of the object in filter F300M
abmag_f335m,Magnitude (F335M),float,magnitude,f335m_corr_1,microJansky, The magnitude of the object in filter F335M 
abmag_f356w,Magnitude (F356W),float,magnitude,f356w_corr_1,microJansky, The magnitude of the object in filter F356W 
abmag_f360m,Magnitude (F360M),float,magnitude,f360m_corr_1,microJansky, The magnitude of the object in filter F360M 
abmag_f410m,Magnitude (F410M),float,magnitude,f410m_corr_1,microJansky, The magnitude of the object in filter F410M 
abmag_f430m,Magnitude (F430M),float,magnitude,f430m_corr_1,microJansky, The magnitude of the object in filter F430M 
abmag_f444w,Magnitude (F444W),float,magnitude,f444w_corr_1,microJansky, The magnitude of the object in filter F444W 
abmag_f460m,Magnitude (F460M),float,magnitude,f460m_corr_1,microJansky, The magnitude of the object in filter F460M 
abmag_f480m,Magnitude (F480M),float,magnitude,f480m_corr_1,microJansky, The magnitude of the object in filter F480M 
